Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-12 06:25:49,28.7,53.6,22°,71%
2023-10-12 07:25:49,29.0,53.5,23°,66%
2023-10-12 08:25:48,27.8,52.8,26°,54%
2023-10-12 09:25:48,28.5,43.3,28°,42%
2023-10-12 10:25:48,29.3,42.6,29°,37%
2023-10-12 11:25:48,29.9,42.3,31°,36%
2023-10-12 12:25:47,30.7,42.4,31°,34%
2023-10-12 13:25:47,30.8,42.6,32°,31%
2023-10-12 14:25:47,31.2,42.8,32°,30%
2023-10-12 15:25:47,31.7,42.2,32°,30%
2023-10-12 16:25:47,31.5,41.9,32°,30%
2023-10-12 17:25:46,31.0,51.5,30°,39%
2023-10-12 18:25:46,30.7,52.0,28°,45%
2023-10-12 19:25:46,30.4,53.7,27°,48%
2023-10-12 20:25:46,30.7,52.6,27°,50%
2023-10-12 21:25:45,29.8,51.6,26°,54%
2023-10-12 22:25:45,29.9,49.0,26°,57%
2023-10-12 23:25:45,29.4,51.7,24°,62%
2023-10-13 00:25:45,28.8,52.1,23°,64%
2023-10-13 01:25:44,29.6,51.5,24°,63%
2023-10-13 02:25:44,29.9,53.7,23°,66%
2023-10-13 03:25:44,29.7,54.0,22°,73%
2023-10-13 04:25:44,29.6,55.2,22°,76%
2023-10-13 05:25:44,29.6,55.6,22°,79%
2023-10-13 06:25:43,29.5,55.2,22°,74%
2023-10-13 07:25:43,29.4,55.4,23°,73%
2023-10-13 08:25:43,29.5,54.7,26°,61%
2023-10-13 09:25:43,29.7,54.9,29°,49%
2023-10-13 10:25:42,30.3,49.2,29°,46%
2023-10-13 11:25:42,30.3,53.7,31°,40%
2023-10-13 12:25:42,30.3,51.0,31°,37%
2023-10-13 13:25:42,30.6,48.6,31°,37%
2023-10-13 14:25:42,30.0,50.6,31°,36%
2023-10-13 15:25:41,30.5,56.4,29°,42%
2023-10-13 16:25:41,30.4,53.7,29°,44%
2023-10-13 17:25:41,30.6,52.5,20°,81%
2023-10-13 18:25:41,29.2,54.9,21°,81%
2023-10-13 19:25:40,29.3,56.6,24°,67%
2023-10-13 20:25:40,28.1,56.3,24°,71%
2023-10-13 21:25:40,26.7,62.4,23°,74%
2023-10-13 22:25:40,28.2,57.6,23°,75%
2023-10-13 23:25:39,26.5,60.2,22°,75%
2023-10-14 00:25:39,25.5,66.1,22°,81%
2023-10-14 01:25:39,26.6,64.9,21°,83%
2023-10-14 02:25:39,27.1,65.2,21°,86%
2023-10-14 03:25:39,27.0,65.7,21°,86%
2023-10-14 04:25:38,27.0,65.0,20°,84%
2023-10-14 05:25:38,27.1,63.6,20°,86%
2023-10-14 06:25:38,26.9,62.1,20°,89%
2023-10-14 07:25:38,26.9,61.7,21°,84%
2023-10-14 08:25:37,27.3,59.0,24°,68%
2023-10-14 09:25:37,27.5,57.9,26°,58%
2023-10-14 10:25:37,27.8,58.3,28°,53%
2023-10-14 11:25:37,28.2,56.5,29°,47%
2023-10-14 12:25:36,28.7,56.8,30°,44%
2023-10-14 13:25:36,28.9,53.8,31°,38%
2023-10-14 14:25:36,29.1,53.0,32°,36%
